No,Student ID,Fullname,DoB,Class,Gender
1,19127388,Bui Nguyen Nhat Hao,2001 05 27,19APCS2,Nam
2,19127389,Tran Tuan 1,2001 02 02,19APCS2,Nam
3,19127390,Tran Tuan 2,2001 02 03,19APCS2,Nam
4,19127391,Tran Tuan 3,2001 02 04,19APCS2,Nam
5,19127392,Tran Tuan 4,2001 02 05,19APCS2,Nam
6,19127393,Tran Tuan 5,2001 02 06,19APCS2,Nam
7,19127394,Tran Tuan 6,2001 02 07,19APCS2,Nu
8,19127395,Tran Tuan 7,2001 02 08,19APCS2,Nu
9,19127396,Tran Tuan 8,2001 02 09,19APCS2,Nu
10,19127397,Tran Tuan 9,2001 02 10,19APCS2,Nu
